event_name,commonName,version,catalog.shortName,GPS,reference,jsonurl,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_1_source_unit,mass_2_source,mass_2_source_lower,mass_2_source_upper,mass_2_source_unit,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,network_matched_filter_snr_unit,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,luminosity_distance_unit,chi_eff,chi_eff_lower,chi_eff_upper,chi_eff_unit,total_mass_source,total_mass_source_lower,total_mass_source_upper,total_mass_source_unit,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass_source_unit,chirp_mass,chirp_mass_lower,chirp_mass_upper,chirp_mass_unit,redshift,redshift_lower,redshift_upper,redshift_unit,far,far_lower,far_upper,far_unit,p_astro,p_astro_lower,p_astro_upper,p_astro_unit,final_mass_source,final_mass_source_lower,final_mass_source_upper,final_mass_source_unit
191223_014159-v1,191223_014159,1,O3_IMBH_marginal,1261100537.6,/O3_IMBH_marginal/,https://gwosc.org/eventapi/json/O3_IMBH_marginal/191223_014159/v1,,,,,,,,,14.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,1/yr,,,,,,,,
GW191222_033537-v1,GW191222_033537,1,GWTC-3-confident,1261020955.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191222_033537/v1,45.1,-8.0,10.9,M_sun,34.7,-10.5,9.3,M_sun,12.5,-0.3,0.2,,3000.0,-1700.0,1700.0,Mpc,-0.04,-0.25,0.2,,79.0,-11.0,16.0,M_sun,33.8,-5.0,7.1,M_sun,,,,,0.51,-0.26,0.23,,1e-05,,,1/yr,0.99,,,,75.5,-9.9,15.3,M_sun
GW191219_163120-v1,GW191219_163120,1,GWTC-3-confident,1260808298.4,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191219_163120/v1,31.1,-2.8,2.2,M_sun,1.17,-0.06,0.07,M_sun,9.1,-0.8,0.5,,550.0,-160.0,240.0,Mpc,0.0,-0.09,0.07,,32.3,-2.7,2.2,M_sun,4.31,-0.17,0.12,M_sun,,,,,0.11,-0.03,0.05,,4.0,,,1/yr,0.8224,,,,32.2,-2.7,2.2,M_sun
GW191216_213338-v1,GW191216_213338,1,GWTC-3-confident,1260567236.4,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191216_213338/v1,12.1,-2.2,4.6,M_sun,7.7,-1.9,1.6,M_sun,18.6,-0.2,0.2,,340.0,-130.0,120.0,Mpc,0.11,-0.06,0.13,,19.8,-0.93,2.7,M_sun,8.33,-0.19,0.22,M_sun,,,,,0.07,-0.03,0.02,,1e-05,,,1/yr,0.99,,,,18.87,-0.93,2.81,M_sun
GW191215_223052-v1,GW191215_223052,1,GWTC-3-confident,1260484270.3,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191215_223052/v1,24.9,-4.1,7.1,M_sun,18.1,-4.1,3.8,M_sun,11.2,-0.4,0.3,,1930.0,-860.0,890.0,Mpc,-0.04,-0.21,0.17,,43.3,-4.3,5.3,M_sun,18.4,-1.7,2.2,M_sun,,,,,0.35,-0.14,0.13,,1e-05,,,1/yr,0.99,,,,41.4,-4.1,5.1,M_sun
GW191204_171526-v1,GW191204_171526,1,GWTC-3-confident,1259514944.0,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191204_171526/v1,11.7,-1.7,3.3,M_sun,8.4,-1.7,1.3,M_sun,17.4,-0.3,0.2,,640.0,-260.0,200.0,Mpc,0.16,-0.05,0.08,,20.19,-0.95,1.64,M_sun,8.56,-0.28,0.41,M_sun,,,,,0.13,-0.05,0.04,,1e-05,,,1/yr,0.99,,,,19.18,-0.93,1.71,M_sun
GW191204_110529-v1,GW191204_110529,1,GWTC-3-confident,1259492747.5,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191204_110529/v1,27.3,-5.9,10.8,M_sun,19.2,-6.0,5.5,M_sun,8.9,-0.6,0.4,,1900.0,-1100.0,1700.0,Mpc,0.05,-0.26,0.25,,47.1,-7.8,9.1,M_sun,19.8,-3.2,3.6,M_sun,,,,,0.34,-0.18,0.25,,3.3,,,1/yr,0.74239,,,,45.0,-7.5,8.7,M_sun
GW191129_134029-v1,GW191129_134029,1,GWTC-3-confident,1259070047.1,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191129_134029/v1,10.7,-2.1,4.1,M_sun,6.7,-1.7,1.5,M_sun,13.1,-0.3,0.2,,790.0,-330.0,260.0,Mpc,0.06,-0.08,0.16,,17.5,-1.2,2.4,M_sun,7.31,-0.28,0.43,M_sun,,,,,0.16,-0.06,0.05,,1e-05,,,1/yr,0.99,,,,16.8,-1.2,2.5,M_sun
GW191127_050227-v1,GW191127_050227,1,GWTC-3-confident,1258866165.5,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191127_050227/v1,53.0,-20.0,47.0,M_sun,24.0,-14.0,17.0,M_sun,9.2,-0.6,0.7,,3400.0,-1900.0,3100.0,Mpc,0.18,-0.36,0.34,,80.0,-22.0,39.0,M_sun,29.9,-9.1,11.7,M_sun,,,,,0.57,-0.29,0.4,,0.25,,,1/yr,0.73996,,,,76.0,-21.0,39.0,M_sun
GW191126_115259-v1,GW191126_115259,1,GWTC-3-confident,1258804397.6,/GWTC-3/,https://gwosc.org/eventapi/json/GWTC-3-confident/GW191126_115259/v1,12.1,-2.2,5.5,M_sun,8.3,-2.4,1.9,M_sun,8.3,-0.5,0.2,,1620.0,-740.0,740.0,Mpc,0.21,-0.11,0.15,,20.7,-2.0,3.4,M_sun,8.65,-0.71,0.95,M_sun,,,,,0.3,-0.13,0.12,,3.2,,,1/yr,0.70041,,,,19.6,-2.0,3.5,M_sun
