event_name,GPS,mass_1_source,mass_2_source,total_mass,chirp_mass,distance_mpc,snr,false_alarm_rate,catalog,commonName,event_date,event_year,event_type,observing_run,mass_bin,distance_bin,mass_ratio,high_confidence
GW190512_180714-v2,1241719652.4,23.2,12.5,35.8,14.6,1460.0,12.7,1e-05,GWTC-2.1-confident,GW190512_180714,2019-05-12,2019,BBH,O3a,20–40,1k–2k,0.5387931034482759,False
GW190512_180714-v3,1241719652.4,24.0,12.0,36.0,14.4,1600.0,12.6,0.001,IAS-O3a,GW190512_180714,2019-05-12,2019,BBH,O3a,20–40,1k–2k,0.5,False
GW190513_205428-v3,1241816086.7,41.0,18.0,58.0,23.0,2400.0,12.0,0.001,IAS-O3a,GW190513_205428,2019-05-13,2019,BBH,O3a,40–60,2k–5k,0.43902439024390244,False
GW190513_205428-v2,1241816086.7,36.0,18.3,54.4,21.8,2210.0,12.5,1.3e-05,GWTC-2.1-confident,GW190513_205428,2019-05-13,2019,BBH,O3a,40–60,2k–5k,0.5083333333333333,False
GW190513_205428-v1,1241816086.8,35.7,18.0,53.9,21.6,2060.0,12.28987773592599,1e-05,GWTC-2,GW190513_205428,2019-05-13,2019,BBH,O3a,40–60,2k–5k,0.5042016806722689,False
GW190514_065416-v3,1241852074.8,39.0,28.0,68.0,29.0,4000.0,8.4,0.0034,IAS-O3a,GW190514_065416,2019-05-14,2019,BBH,O3a,60–100,2k–5k,0.717948717948718,False
GW190514_065416-v1,1241852074.8,39.0,28.4,67.2,28.5,4130.0,8.304493549646196,0.5266876793595081,GWTC-2,GW190514_065416,2019-05-14,2019,BBH,O3a,60–100,2k–5k,0.7282051282051282,False
GW190514_065416-v2,1241852074.8,40.9,28.4,69.3,29.1,3890.0,8.0,2.8,GWTC-2.1-confident,GW190514_065416,2019-05-14,2019,BBH,O3a,60–100,2k–5k,0.6943765281173594,False
GW190517_055101-v2,1242107479.8,39.2,24.0,64.1,26.5,1790.0,10.8,0.00035,GWTC-2.1-confident,GW190517_055101,2019-05-17,2019,BBH,O3a,60–100,1k–2k,0.6122448979591836,False
GW190517_055101-v1,1242107479.8,37.4,25.3,63.5,26.6,1860.0,10.687871630965631,5.720513515363399e-05,GWTC-2,GW190517_055101,2019-05-17,2019,BBH,O3a,60–100,1k–2k,0.6764705882352942,False
